sequence,v115@RhA8DeC8BeC8AeE8KeT/IvhFelBChBXiBdoB5oB8qB,v115@RhA8DeC8BeC8AeE8Kei/IvhF5lBNmBUiBGjBzkB/tB,v115@RhA8DeC8BeC8AeE8Ke/EJvhFNmBUiBaoB5oBTlBGqB
TLOZIJS,O,O,O
TLOZISJ,O,O,O
TLOZJIS,O,O,O
TLOZJSI,O,O,O
TLOZSIJ,O,O,O
TLOZSJI,O,O,O
TJILSZO,O,O,O
TJILSOZ,O,O,O
TJILZSO,O,O,O
TJILZOS,O,X,O
TJILOSZ,O,X,O
TJILOZS,O,X,O
TJISLZO,O,O,O
TJISLOZ,O,O,O
TJISZLO,O,O,O
TJISZOL,O,O,O
TJISOLZ,O,O,O
TJISOZL,O,O,O
TJIZLSO,O,O,O
TJIZLOS,O,X,O
TJIZSLO,O,O,O
TJIZSOL,O,O,O
TJIZOLS,O,O,O
TJIZOSL,O,O,O
TJIOLSZ,O,O,O
TJIOLZS,O,O,O
TJIOSLZ,O,O,O
TJIOSZL,O,O,O
TJIOZLS,O,O,O
TJIOZSL,O,O,O
TJLISZO,O,O,O
TJLISOZ,O,O,O
TJLIZSO,O,O,O
TJLIZOS,O,X,O
TJLIOSZ,O,X,O
TJLIOZS,O,X,O
TJLSIZO,O,O,O
TJLSIOZ,O,O,O
TJLSZIO,O,O,O
TJLSZOI,O,O,O
TJLSOIZ,O,O,O
TJLSOZI,O,O,O
TJLZISO,O,O,O
TJLZIOS,O,X,O
TJLZSIO,O,O,O
TJLZSOI,O,O,O
TJLZOIS,O,X,O
TJLZOSI,O,X,O
TJLOISZ,O,X,O
TJLOIZS,O,X,O
TJLOSIZ,O,X,O
TJLOSZI,O,X,O
TJLOZIS,O,X,O
TJLOZSI,O,X,O
TJSILZO,O,O,O
TJSILOZ,O,O,O
TJSIZLO,O,O,O
TJSIZOL,O,O,O
TJSIOLZ,O,O,O
TJSIOZL,O,O,O
TJSLIZO,O,O,O
TJSLIOZ,O,O,O
TJSLZIO,O,O,O
TJSLZOI,O,O,O
TJSLOIZ,O,O,O
TJSLOZI,O,O,O
TJSZILO,O,O,O
TJSZIOL,O,O,O
TJSZLIO,O,O,O
TJSZLOI,O,O,O
TJSZOIL,O,O,O
TJSZOLI,O,O,O
TJSOILZ,O,O,O
TJSOIZL,O,O,O
TJSOLIZ,O,O,O
TJSOLZI,O,O,O
TJSOZIL,O,O,O
TJSOZLI,O,O,O
TJZILSO,O,O,O
TJZILOS,O,X,O
TJZISLO,O,O,O
TJZISOL,O,O,O
TJZIOLS,O,O,O
TJZIOSL,O,O,O
TJZLISO,O,O,O
TJZLIOS,O,X,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,X,O
TJZLOSI,O,X,O
TJZSILO,O,O,O
TJZSIOL,O,O,O
TJZSLIO,O,O,O
TJZSLOI,O,O,O
TJZSOIL,O,O,O
TJZSOLI,O,O,O
TJZOILS,O,O,O
TJZOISL,O,O,O
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,O
TJZOSLI,O,O,O
TJOILSZ,O,O,O
TJOILZS,O,O,O
TJOISLZ,O,O,O
TJOISZL,O,O,O
TJOIZLS,O,O,O
TJOIZSL,O,O,O
TJOLISZ,O,O,O
TJOLIZS,O,O,O
TJOLSIZ,O,O,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,O,O
TJOSIZL,O,O,O
TJOSLIZ,O,O,O
TJOSLZI,O,O,O
TJOSZIL,O,O,O
TJOSZLI,O,O,O
TJOZILS,O,O,O
TJOZISL,O,O,O
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,O
TJOZSLI,O,O,O
TSILJZO,O,O,O
TSILJOZ,O,O,O
TSILZJO,O,O,O
TSILZOJ,O,O,O
TSILOJZ,O,O,O
TSILOZJ,O,O,O
TSIJLZO,O,O,O
TSIJLOZ,O,O,O
TSIJZLO,O,O,O
TSIJZOL,O,O,O
TSIJOLZ,O,O,O
TSIJOZL,O,O,O
TSIZLJO,O,O,O
TSIZLOJ,O,O,O
TSIZJLO,O,O,O
TSIZJOL,O,O,O
TSIZOLJ,O,O,O
TSIZOJL,O,O,O
TSIOLJZ,O,O,O
TSIOLZJ,O,O,O
TSIOJLZ,O,O,O
TSIOJZL,O,O,O
TSIOZLJ,O,O,O
TSIOZJL,O,O,O
TSLIJZO,O,O,O
TSLIJOZ,O,O,O
TSLIZJO,O,O,O
TSLIZOJ,O,O,O
TSLIOJZ,O,O,O
TSLIOZJ,O,O,O
TSLJIZO,O,O,O
TSLJIOZ,O,O,O
TSLJZIO,O,O,O
TSLJZOI,O,O,O
TSLJOIZ,O,O,O
TSLJOZI,O,O,O
TSLZIJO,O,O,O
TSLZIOJ,O,O,O
TSLZJIO,O,O,O
TSLZJOI,O,O,O
TSLZOIJ,O,O,O
TSLZOJI,O,O,O
TSLOIJZ,O,O,O
TSLOIZJ,O,O,O
TSLOJIZ,O,O,O
TSLOJZI,O,O,O
TSLOZIJ,O,O,O
TSLOZJI,O,O,O
TSJILZO,O,O,O
TSJILOZ,O,O,O
TSJIZLO,O,O,O
TSJIZOL,O,O,O
TSJIOLZ,O,O,O
TSJIOZL,O,O,O
TSJLIZO,O,O,O
TSJLIOZ,O,O,O
TSJLZIO,O,O,O
TSJLZOI,O,O,O
TSJLOIZ,O,O,O
TSJLOZI,O,O,O
TSJZILO,O,O,O
TSJZIOL,O,O,O
TSJZLIO,O,O,O
TSJZLOI,O,O,O
TSJZOIL,O,O,O
TSJZOLI,O,O,O
TSJOILZ,O,O,O
TSJOIZL,O,O,O
TSJOLIZ,O,O,O
TSJOLZI,O,O,O
TSJOZIL,O,O,O
TSJOZLI,O,O,O
TSZILJO,O,O,O
TSZILOJ,O,O,O
TSZIJLO,O,O,O
TSZIJOL,O,O,O
TSZIOLJ,O,O,O
TSZIOJL,O,O,O
TSZLIJO,O,O,O
TSZLIOJ,O,O,O
TSZLJIO,O,O,O
TSZLJOI,O,O,O
TSZLOIJ,O,O,O
TSZLOJI,O,O,O
TSZJILO,O,O,O
TSZJIOL,O,O,O
TSZJLIO,O,O,O
TSZJLOI,O,O,O
TSZJOIL,O,O,O
TSZJOLI,O,O,O
TSZOILJ,O,O,O
TSZOIJL,O,O,O
TSZOLIJ,O,O,O
TSZOLJI,O,O,O
TSZOJIL,O,O,O
TSZOJLI,O,O,O
TSOILJZ,O,O,O
TSOILZJ,O,O,O
TSOIJLZ,O,O,O
TSOIJZL,O,O,O
TSOIZLJ,O,O,O
TSOIZJL,O,O,O
TSOLIJZ,O,O,O
TSOLIZJ,O,O,O
TSOLJIZ,O,O,O
TSOLJZI,O,O,O
TSOLZIJ,O,O,O
TSOLZJI,O,O,O
TSOJILZ,O,O,O
TSOJIZL,O,O,O
TSOJLIZ,O,O,O
TSOJLZI,O,O,O
TSOJZIL,O,O,O
TSOJZLI,O,O,O
TSOZILJ,O,O,O
TSOZIJL,O,O,O
TSOZLIJ,O,O,O
TSOZLJI,O,O,O
TSOZJIL,O,O,O
TSOZJLI,O,O,O
TZILJSO,O,O,O
TZILJOS,O,X,O
TZILSJO,O,O,O
TZILSOJ,O,O,O
TZILOJS,O,O,O
TZILOSJ,O,O,O
TZIJLSO,O,O,O
TZIJLOS,O,X,O
TZIJSLO,O,O,O
TZIJSOL,O,O,O
TZIJOLS,O,O,O
TZIJOSL,O,O,O
TZISLJO,O,O,O
TZISLOJ,O,O,O
TZISJLO,O,O,O
TZISJOL,O,O,O
TZISOLJ,O,O,O
TZISOJL,O,O,O
TZIOLJS,O,O,O
TZIOLSJ,O,O,O
TZIOJLS,O,O,O
TZIOJSL,O,O,O
TZIOSLJ,O,O,O
TZIOSJL,O,O,O
TZLIJSO,O,O,O
TZLIJOS,O,X,O
TZLISJO,O,O,O
TZLISOJ,O,O,O
TZLIOJS,O,O,O
TZLIOSJ,O,O,O
TZLJISO,O,O,O
TZLJIOS,O,X,O
TZLJSIO,O,O,O
TZLJSOI,O,O,O
TZLJOIS,O,X,O
TZLJOSI,O,X,O
TZLSIJO,O,O,O
TZLSIOJ,O,O,O
TZLSJIO,O,O,O
TZLSJOI,O,O,O
TZLSOIJ,O,O,O
TZLSOJI,O,O,O
TZLOIJS,O,O,O
TZLOISJ,O,O,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,O,O,O
TZLOSJI,O,O,O
TZJILSO,O,O,O
TZJILOS,O,X,O
TZJISLO,O,O,O
TZJISOL,O,O,O
TZJIOLS,O,O,O
TZJIOSL,O,O,O
TZJLISO,O,O,O
TZJLIOS,O,X,O
TZJLSIO,O,O,O
TZJLSOI,O,O,O
TZJLOIS,O,X,O
TZJLOSI,O,X,O
TZJSILO,O,O,O
TZJSIOL,O,O,O
TZJSLIO,O,O,O
TZJSLOI,O,O,O
TZJSOIL,O,O,O
TZJSOLI,O,O,O
TZJOILS,O,O,O
TZJOISL,O,O,O
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,O,O
TZSIJOL,O,O,O
TZSIOLJ,O,O,O
TZSIOJL,O,O,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,O,O
TZSJIOL,O,O,O
TZSJLIO,O,O,O
TZSJLOI,O,O,O
TZSJOIL,O,O,O
TZSJOLI,O,O,O
TZSOILJ,O,O,O
TZSOIJL,O,O,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,O,O
TZSOJLI,O,O,O
TZOILJS,O,O,O
TZOILSJ,O,O,O
TZOIJLS,O,O,O
TZOIJSL,O,O,O
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,O
TZOLISJ,O,O,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,O,O
TZOLSJI,O,O,O
TZOJILS,O,O,O
TZOJISL,O,O,O
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,O,O
TOILJZS,O,O,O
TOILSJZ,O,O,O
TOILSZJ,O,O,O
TOILZJS,O,O,O
TOILZSJ,O,O,O
TOIJLSZ,O,O,O
TOIJLZS,O,O,O
TOIJSLZ,O,O,O
TOIJSZL,O,O,O
TOIJZLS,O,O,O
TOIJZSL,O,O,O
TOISLJZ,O,O,O
TOISLZJ,O,O,O
TOISJLZ,O,O,O
TOISJZL,O,O,O
TOISZLJ,O,O,O
TOISZJL,O,O,O
TOIZLJS,O,O,O
TOIZLSJ,O,O,O
TOIZJLS,O,O,O
TOIZJSL,O,O,O
TOIZSLJ,O,O,O
TOIZSJL,O,O,O
TOLIJSZ,O,O,O
TOLIJZS,O,O,O
TOLISJZ,O,O,O
TOLISZJ,O,O,O
TOLIZJS,O,O,O
TOLIZSJ,O,O,O
TOLJISZ,O,O,O
TOLJIZS,O,O,O
TOLJSIZ,O,O,O
TOLJSZI,O,O,O
TOLJZIS,O,O,O
TOLJZSI,O,O,O
TOLSIJZ,O,O,O
TOLSIZJ,O,O,O
TOLSJIZ,O,O,O
TOLSJZI,O,O,O
TOLSZIJ,O,O,O
TOLSZJI,O,O,O
TOLZIJS,O,O,O
TOLZISJ,O,O,O
TOLZJIS,O,O,O
TOLZJSI,O,O,O
TOLZSIJ,O,O,O
TOLZSJI,O,O,O
TOJILSZ,O,O,O
TOJILZS,O,O,O
TOJISLZ,O,O,O
TOJISZL,O,O,O
TOJIZLS,O,O,O
TOJIZSL,O,O,O
TOJLISZ,O,O,O
TOJLIZS,O,O,O
TOJLSIZ,O,O,O
TOJLSZI,O,O,O
TOJLZIS,O,O,O
TOJLZSI,O,O,O
TOJSILZ,O,O,O
TOJSIZL,O,O,O
TOJSLIZ,O,O,O
TOJSLZI,O,O,O
TOJSZIL,O,O,O
TOJSZLI,O,O,O
TOJZILS,O,O,O
TOJZISL,O,O,O
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,O,O
TOJZSLI,O,O,O
TOSILJZ,O,O,O
TOSILZJ,O,O,O
TOSIJLZ,O,O,O
TOSIJZL,O,O,O
TOSIZLJ,O,O,O
TOSIZJL,O,O,O
TOSLIJZ,O,O,O
TOSLIZJ,O,O,O
TOSLJIZ,O,O,O
TOSLJZI,O,O,O
TOSLZIJ,O,O,O
TOSLZJI,O,O,O
TOSJILZ,O,O,O
TOSJIZL,O,O,O
TOSJLIZ,O,O,O
TOSJLZI,O,O,O
TOSJZIL,O,O,O
TOSJZLI,O,O,O
TOSZILJ,O,O,O
TOSZIJL,O,O,O
TOSZLIJ,O,O,O
TOSZLJI,O,O,O
TOSZJIL,O,O,O
TOSZJLI,O,O,O
TOZILJS,O,O,O
TOZILSJ,O,O,O
TOZIJLS,O,O,O
TOZIJSL,O,O,O
TOZISLJ,O,O,O
TOZISJL,O,O,O
TOZLIJS,O,O,O
TOZLISJ,O,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,O,O,O
TOZJISL,O,O,O
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,O,O
ITLJSOZ,O,O,O
ITLJZSO,O,O,O
ITLJZOS,O,X,O
ITLJOSZ,O,X,O
ITLJOZS,O,X,O
ITLSJZO,O,O,O
ITLSJOZ,O,O,O
ITLSZJO,O,O,O
ITLSZOJ,O,O,O
ITLSOJZ,O,O,O
ITLSOZJ,O,O,O
ITLZJSO,O,O,O
ITLZJOS,O,X,O
ITLZSJO,O,O,O
ITLZSOJ,O,O,O
ITLZOJS,O,O,O
ITLZOSJ,O,O,O
ITLOJSZ,O,O,O
ITLOJZS,O,O,O
ITLOSJZ,O,O,O
ITLOSZJ,O,O,O
ITLOZJS,O,O,O
ITLOZSJ,O,O,O
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,O,O,O
ITJLZOS,O,X,O
ITJLOSZ,O,X,O
ITJLOZS,O,X,O
ITJSLZO,O,O,O
ITJSLOZ,O,O,O
ITJSZLO,O,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,O,O
ITJSOZL,O,O,O
ITJZLSO,O,O,O
ITJZLOS,O,X,O
ITJZSLO,O,O,O
ITJZSOL,O,O,O
ITJZOLS,O,O,O
ITJZOSL,O,O,O
ITJOLSZ,O,O,O
ITJOLZS,O,O,O
ITJOSLZ,O,O,O
ITJOSZL,O,O,O
ITJOZLS,O,O,O
ITJOZSL,O,O,O
ITSLJZO,O,O,O
ITSLJOZ,O,O,O
ITSLZJO,O,O,O
ITSLZOJ,O,O,O
ITSLOJZ,O,O,O
ITSLOZJ,O,O,O
ITSJLZO,O,O,O
ITSJLOZ,O,O,O
ITSJZLO,O,O,O
ITSJZOL,O,O,O
ITSJOLZ,O,O,O
ITSJOZL,O,O,O
ITSZLJO,O,O,O
ITSZLOJ,O,O,O
ITSZJLO,O,O,O
ITSZJOL,O,O,O
ITSZOLJ,O,O,O
ITSZOJL,O,O,O
ITSOLJZ,O,O,O
ITSOLZJ,O,O,O
ITSOJLZ,O,O,O
ITSOJZL,O,O,O
ITSOZLJ,O,O,O
ITSOZJL,O,O,O
ITZLJSO,O,O,O
ITZLJOS,O,X,O
ITZLSJO,O,O,O
ITZLSOJ,O,O,O
ITZLOJS,O,O,O
ITZLOSJ,O,O,O
ITZJLSO,O,O,O
ITZJLOS,O,X,O
ITZJSLO,O,O,O
ITZJSOL,O,O,O
ITZJOLS,O,O,O
ITZJOSL,O,O,O
ITZSLJO,O,O,O
ITZSLOJ,O,O,O
ITZSJLO,O,O,O
ITZSJOL,O,O,O
ITZSOLJ,O,O,O
ITZSOJL,O,O,O
ITZOLJS,O,O,O
ITZOLSJ,O,O,O
ITZOJLS,O,O,O
ITZOJSL,O,O,O
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,O,O,O
ITOLJZS,O,O,O
ITOLSJZ,O,O,O
ITOLSZJ,O,O,O
ITOLZJS,O,O,O
ITOLZSJ,O,O,O
ITOJLSZ,O,O,O
ITOJLZS,O,O,O
ITOJSLZ,O,O,O
ITOJSZL,O,O,O
ITOJZLS,O,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,O,O
ITOSLZJ,O,O,O
ITOSJLZ,O,O,O
ITOSJZL,O,O,O
ITOSZLJ,O,O,O
ITOSZJL,O,O,O
ITOZLJS,O,O,O
ITOZLSJ,O,O,O
ITOZJLS,O,O,O
ITOZJSL,O,O,O
ITOZSLJ,O,O,O
ITOZSJL,O,O,O
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,O,O,O
ILTJZOS,O,X,O
ILTJOSZ,O,X,O
ILTJOZS,O,X,O
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,O,O,O
ILTSZOJ,O,O,O
ILTSOJZ,O,O,O
ILTSOZJ,O,O,O
ILTZJSO,O,O,O
ILTZJOS,O,X,O
ILTZSJO,O,O,O
ILTZSOJ,O,O,O
ILTZOJS,O,O,O
ILTZOSJ,O,O,O
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,O,O,O
ILTOZJS,O,O,O
ILTOZSJ,O,O,O
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,O,O,O
ILJTZOS,O,X,O
ILJTOSZ,O,X,O
ILJTOZS,O,X,O
ILJSTZO,X,O,O
ILJSTOZ,X,O,O
ILJSZTO,X,O,O
ILJSZOT,X,X,X
ILJSOTZ,X,O,O
ILJSOZT,X,X,X
ILJZTSO,O,X,O
ILJZTOS,O,X,O
ILJZSTO,O,X,O
ILJZSOT,O,X,X
ILJZOTS,O,X,X
ILJZOST,O,X,X
ILJOTSZ,O,X,O
ILJOTZS,O,X,O
ILJOSTZ,X,X,O
ILJOSZT,X,X,X
ILJOZTS,O,X,X
ILJOZST,O,X,X
ILSTJZO,X,O,O
ILSTJOZ,X,O,O
ILSTZJO,X,O,O
ILSTZOJ,X,O,O
ILSTOJZ,X,O,O
ILSTOZJ,X,O,O
ILSJTZO,X,O,O
ILSJTOZ,X,O,O
ILSJZTO,X,O,O
ILSJZOT,X,O,X
ILSJOTZ,X,O,O
ILSJOZT,X,O,X
ILSZTJO,X,O,O
ILSZTOJ,X,O,O
ILSZJTO,X,O,O
ILSZJOT,X,O,X
ILSZOTJ,X,O,O
ILSZOJT,X,O,X
ILSOTJZ,X,O,O
ILSOTZJ,X,O,O
ILSOJTZ,X,O,O
ILSOJZT,X,O,X
ILSOZTJ,X,O,O
ILSOZJT,X,O,X
ILZTJSO,O,O,O
ILZTJOS,O,X,O
ILZTSJO,O,O,O
ILZTSOJ,O,O,O
ILZTOJS,O,X,O
ILZTOSJ,O,O,O
ILZJTSO,O,X,O
ILZJTOS,O,X,O
ILZJSTO,O,X,O
ILZJSOT,O,X,X
ILZJOTS,O,X,X
ILZJOST,O,X,X
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,O,X
ILZSOTJ,X,O,O
ILZSOJT,X,O,X
ILZOTJS,O,O,O
ILZOTSJ,O,O,O
ILZOJTS,O,X,X
ILZOJST,O,X,X
ILZOSTJ,X,O,O
ILZOSJT,X,O,X
ILOTJSZ,O,O,O
ILOTJZS,O,O,O
ILOTSJZ,O,O,O
ILOTSZJ,O,O,O
ILOTZJS,O,O,O
ILOTZSJ,O,O,O
ILOJTSZ,O,O,O
ILOJTZS,O,O,O
ILOJSTZ,X,O,O
ILOJSZT,X,O,X
ILOJZTS,O,X,X
ILOJZST,O,X,X
ILOSTJZ,X,O,O
ILOSTZJ,X,O,O
ILOSJTZ,X,O,O
ILOSJZT,X,O,X
ILOSZTJ,X,O,O
ILOSZJT,X,O,X
ILOZTJS,O,O,O
ILOZTSJ,O,O,O
ILOZJTS,O,X,X
ILOZJST,O,X,X
ILOZSTJ,X,O,O
ILOZSJT,X,O,X
IJTLSZO,O,O,O
IJTLSOZ,O,O,O
IJTLZSO,O,O,O
IJTLZOS,O,X,O
IJTLOSZ,O,X,O
IJTLOZS,O,X,O
IJTSLZO,O,O,O
IJTSLOZ,O,O,O
IJTSZLO,O,O,O
