sequence,v115@OhA8CeB8DeA8BeE8AeC8KeOEJvhFXgBlhBaoB5oBzl?B8rB,v115@OhA8CeB8DeA8BeE8AeC8KeOEJvhFXgB8lBzhBaoB5o?BlrB,v115@OhA8CeB8DeA8BeE8AeC8Kex/IvhF8lBzhBGjBikB/t?BlrB
TIOJSLZ,X,X,X
TIOJSZL,X,X,X
TIOJZLS,X,O,X
TIOJZSL,X,O,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,X,O,X
TIOZLSJ,X,O,X
TIOZJLS,X,O,X
TIOZJSL,X,O,X
TIOZSLJ,X,O,X
TIOZSJL,X,O,X
TLIJSZO,X,X,X
TLIJSOZ,X,X,X
TLIJZSO,X,O,X
TLIJZOS,X,O,X
TLIJOSZ,X,X,X
TLIJOZS,X,O,X
TLISJZO,X,X,X
TLISJOZ,X,X,X
TLISZJO,X,X,X
TLISZOJ,X,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,X,O,X
TLIZJOS,X,O,X
TLIZSJO,X,O,X
TLIZSOJ,X,O,X
TLIZOJS,X,O,X
TLIZOSJ,X,O,X
TLIOJSZ,X,X,X
TLIOJZS,X,O,X
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,O,X
TLIOZSJ,X,O,X
TLJISZO,X,X,X
TLJISOZ,X,X,X
TLJIZSO,X,O,X
TLJIZOS,X,O,X
TLJIOSZ,X,X,X
TLJIOZS,X,O,X
TLJSIZO,X,X,X
TLJSIOZ,X,X,X
TLJSZIO,X,X,X
TLJSZOI,X,X,X
TLJSOIZ,X,X,X
TLJSOZI,X,X,X
TLJZISO,X,O,X
TLJZIOS,X,O,X
TLJZSIO,X,O,X
TLJZSOI,X,O,X
TLJZOIS,X,O,X
TLJZOSI,X,O,X
TLJOISZ,X,X,X
TLJOIZS,X,O,X
TLJOSIZ,X,X,X
TLJOSZI,X,X,X
TLJOZIS,X,O,X
TLJOZSI,X,O,X
TLSIJZO,X,X,X
TLSIJOZ,X,X,X
TLSIZJO,X,X,X
TLSIZOJ,X,X,X
TLSIOJZ,X,X,X
TLSIOZJ,X,X,X
TLSJIZO,X,X,X
TLSJIOZ,X,X,X
TLSJZIO,X,X,O
TLSJZOI,X,X,O
TLSJOIZ,X,X,X
TLSJOZI,X,X,O
TLSZIJO,X,X,O
TLSZIOJ,X,X,O
TLSZJIO,X,X,O
TLSZJOI,X,X,O
TLSZOIJ,X,X,O
TLSZOJI,X,X,O
TLSOIJZ,X,X,X
TLSOIZJ,X,X,X
TLSOJIZ,X,X,X
TLSOJZI,X,X,O
TLSOZIJ,X,X,O
TLSOZJI,X,X,O
TLZIJSO,X,O,X
TLZIJOS,X,O,X
TLZISJO,X,O,O
TLZISOJ,X,O,O
TLZIOJS,X,O,X
TLZIOSJ,X,O,O
TLZJISO,X,O,X
TLZJIOS,X,O,X
TLZJSIO,X,O,X
TLZJSOI,X,O,X
TLZJOIS,X,O,X
TLZJOSI,X,O,X
TLZSIJO,X,O,O
TLZSIOJ,X,O,O
TLZSJIO,X,O,O
TLZSJOI,X,O,O
TLZSOIJ,X,O,O
TLZSOJI,X,O,O
TLZOIJS,X,O,X
TLZOISJ,X,O,O
TLZOJIS,X,O,X
TLZOJSI,X,O,X
TLZOSIJ,X,O,O
TLZOSJI,X,O,O
TLOIJSZ,X,X,X
TLOIJZS,X,O,X
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,O,X
TLOIZSJ,X,O,X
TLOJISZ,X,X,X
TLOJIZS,X,O,X
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,O,X
TLOJZSI,X,O,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,O
TLOSZIJ,X,X,O
TLOSZJI,X,X,O
TLOZIJS,X,O,X
TLOZISJ,X,O,O
TLOZJIS,X,O,X
TLOZJSI,X,O,X
TLOZSIJ,X,O,O
TLOZSJI,X,O,O
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,O,X
TJILZOS,X,O,X
TJILOSZ,X,X,X
TJILOZS,X,O,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,O,X
TJIZLOS,X,O,X
TJIZSLO,X,O,X
TJIZSOL,X,O,X
TJIZOLS,X,O,X
TJIZOSL,X,O,X
TJIOLSZ,X,X,X
TJIOLZS,X,O,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,X,O,X
TJIOZSL,X,O,X
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,X,O,X
TJLIZOS,X,O,X
TJLIOSZ,X,X,X
TJLIOZS,X,O,X
TJLSIZO,X,X,X
TJLSIOZ,X,X,X
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,X,O,X
TJLZIOS,X,O,X
TJLZSIO,X,O,X
TJLZSOI,X,O,X
TJLZOIS,X,O,X
TJLZOSI,X,O,X
TJLOISZ,X,X,X
TJLOIZS,X,O,X
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,O,X
TJLOZSI,X,O,X
TJSILZO,X,X,X
TJSILOZ,X,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,X
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,O,X
TJZILOS,X,O,X
TJZISLO,X,O,X
TJZISOL,X,O,X
TJZIOLS,X,O,X
TJZIOSL,X,O,X
TJZLISO,X,O,X
TJZLIOS,X,O,X
TJZLSIO,X,O,X
TJZLSOI,X,O,X
TJZLOIS,X,O,X
TJZLOSI,X,O,X
TJZSILO,X,O,X
TJZSIOL,X,O,X
TJZSLIO,X,O,X
TJZSLOI,X,O,X
TJZSOIL,X,O,X
TJZSOLI,X,O,X
TJZOILS,X,O,X
TJZOISL,X,O,X
TJZOLIS,X,O,X
TJZOLSI,X,O,X
TJZOSIL,X,O,X
TJZOSLI,X,O,X
TJOILSZ,X,X,X
TJOILZS,X,O,X
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,X,O,X
TJOIZSL,X,O,X
TJOLISZ,X,X,X
TJOLIZS,X,O,X
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,O,X
TJOLZSI,X,O,X
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,X,O,X
TJOZISL,X,O,X
TJOZLIS,X,O,X
TJOZLSI,X,O,X
TJOZSIL,X,O,X
TJOZSLI,X,O,X
TSILJZO,X,X,X
TSILJOZ,X,X,X
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,X
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,X
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,X,X
TSIOJLZ,X,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,X
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,X,X,X
TSLJZIO,X,X,O
TSLJZOI,X,X,O
TSLJOIZ,X,X,X
TSLJOZI,X,X,O
TSLZIJO,X,X,O
TSLZIOJ,X,X,O
TSLZJIO,X,X,O
TSLZJOI,X,X,O
TSLZOIJ,X,X,O
TSLZOJI,X,X,O
TSLOIJZ,X,X,X
TSLOIZJ,X,X,X
TSLOJIZ,X,X,X
TSLOJZI,X,X,O
TSLOZIJ,X,X,O
TSLOZJI,X,X,O
TSJILZO,X,X,X
TSJILOZ,X,X,X
TSJIZLO,X,X,X
TSJIZOL,X,X,X
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,X,X,X
TSJLIOZ,X,X,X
TSJLZIO,X,X,O
TSJLZOI,X,X,O
TSJLOIZ,X,X,X
TSJLOZI,X,X,O
TSJZILO,X,X,X
TSJZIOL,X,X,O
TSJZLIO,X,X,O
TSJZLOI,X,X,O
TSJZOIL,X,X,O
TSJZOLI,X,X,O
TSJOILZ,X,X,X
TSJOIZL,X,X,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,O
TSJOZIL,X,X,O
TSJOZLI,X,X,O
TSZILJO,X,X,X
TSZILOJ,X,X,X
TSZIJLO,X,X,X
TSZIJOL,X,X,O
TSZIOLJ,X,X,X
TSZIOJL,X,X,O
TSZLIJO,X,X,O
TSZLIOJ,X,X,O
TSZLJIO,X,X,O
TSZLJOI,X,X,O
TSZLOIJ,X,X,O
TSZLOJI,X,X,O
TSZJILO,X,X,X
TSZJIOL,X,X,O
TSZJLIO,X,X,O
TSZJLOI,X,X,O
TSZJOIL,X,X,O
TSZJOLI,X,X,O
TSZOILJ,X,X,X
TSZOIJL,X,X,O
TSZOLIJ,X,X,O
TSZOLJI,X,X,O
TSZOJIL,X,X,O
TSZOJLI,X,X,O
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,X,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,O
TSOLZIJ,X,X,O
TSOLZJI,X,X,O
TSOJILZ,X,X,X
TSOJIZL,X,X,X
TSOJLIZ,X,X,X
TSOJLZI,X,X,O
TSOJZIL,X,X,O
TSOJZLI,X,X,O
TSOZILJ,X,X,X
TSOZIJL,X,X,O
TSOZLIJ,X,X,O
TSOZLJI,X,X,O
TSOZJIL,X,X,O
TSOZJLI,X,X,O
TZILJSO,X,O,X
TZILJOS,X,O,X
TZILSJO,X,O,X
TZILSOJ,X,O,X
TZILOJS,X,O,X
TZILOSJ,X,O,X
TZIJLSO,X,O,X
TZIJLOS,X,O,X
TZIJSLO,X,O,X
TZIJSOL,X,O,X
TZIJOLS,X,O,X
TZIJOSL,X,O,X
TZISLJO,X,O,X
TZISLOJ,X,O,X
TZISJLO,X,O,X
TZISJOL,X,O,O
TZISOLJ,X,O,X
TZISOJL,X,O,O
TZIOLJS,X,O,X
TZIOLSJ,X,O,X
TZIOJLS,X,O,X
TZIOJSL,X,O,X
TZIOSLJ,X,O,X
TZIOSJL,X,O,O
TZLIJSO,X,O,X
TZLIJOS,X,O,X
TZLISJO,X,O,O
TZLISOJ,X,O,O
TZLIOJS,X,O,X
TZLIOSJ,X,O,O
TZLJISO,X,O,X
TZLJIOS,X,O,X
TZLJSIO,X,O,X
TZLJSOI,X,O,X
TZLJOIS,X,O,X
TZLJOSI,X,O,X
TZLSIJO,X,O,O
TZLSIOJ,X,O,O
TZLSJIO,X,O,O
TZLSJOI,X,O,O
TZLSOIJ,X,O,O
TZLSOJI,X,O,O
TZLOIJS,X,O,X
TZLOISJ,X,O,O
TZLOJIS,X,O,X
TZLOJSI,X,O,X
TZLOSIJ,X,O,O
TZLOSJI,X,O,O
TZJILSO,X,O,X
TZJILOS,X,O,X
TZJISLO,X,O,X
TZJISOL,X,O,X
TZJIOLS,X,O,X
TZJIOSL,X,O,X
TZJLISO,X,O,X
TZJLIOS,X,O,X
TZJLSIO,X,O,X
TZJLSOI,X,O,X
TZJLOIS,X,O,X
TZJLOSI,X,O,X
TZJSILO,X,O,X
TZJSIOL,X,O,X
TZJSLIO,X,O,X
TZJSLOI,X,O,X
TZJSOIL,X,O,X
TZJSOLI,X,O,X
TZJOILS,X,O,X
TZJOISL,X,O,X
TZJOLIS,X,O,X
TZJOLSI,X,O,X
TZJOSIL,X,O,X
TZJOSLI,X,O,X
TZSILJO,X,O,X
TZSILOJ,X,O,X
TZSIJLO,X,O,X
TZSIJOL,X,O,O
TZSIOLJ,X,O,X
TZSIOJL,X,O,O
TZSLIJO,X,O,O
TZSLIOJ,X,O,O
TZSLJIO,X,O,O
TZSLJOI,X,O,O
TZSLOIJ,X,O,O
TZSLOJI,X,O,O
TZSJILO,X,O,X
TZSJIOL,X,O,O
TZSJLIO,X,O,O
TZSJLOI,X,O,O
TZSJOIL,X,O,O
TZSJOLI,X,O,O
TZSOILJ,X,O,X
TZSOIJL,X,O,O
TZSOLIJ,X,O,O
TZSOLJI,X,O,O
TZSOJIL,X,O,O
TZSOJLI,X,O,O
TZOILJS,X,O,X
TZOILSJ,X,O,X
TZOIJLS,X,O,X
TZOIJSL,X,O,X
TZOISLJ,X,O,X
TZOISJL,X,O,O
TZOLIJS,X,O,X
TZOLISJ,X,O,O
TZOLJIS,X,O,X
TZOLJSI,X,O,X
TZOLSIJ,X,O,O
TZOLSJI,X,O,O
TZOJILS,X,O,X
TZOJISL,X,O,X
TZOJLIS,X,O,X
TZOJLSI,X,O,X
TZOJSIL,X,O,X
TZOJSLI,X,O,X
TZOSILJ,X,O,X
TZOSIJL,X,O,O
TZOSLIJ,X,O,O
TZOSLJI,X,O,O
TZOSJIL,X,O,O
TZOSJLI,X,O,O
TOILJSZ,X,X,X
TOILJZS,X,O,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,O,X
TOILZSJ,X,O,X
TOIJLSZ,X,X,X
TOIJLZS,X,O,X
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,O,X
TOIJZSL,X,O,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,O,X
TOIZLSJ,X,O,X
TOIZJLS,X,O,X
TOIZJSL,X,O,X
TOIZSLJ,X,O,X
TOIZSJL,X,O,X
TOLIJSZ,X,X,X
TOLIJZS,X,O,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,O,X
TOLIZSJ,X,O,X
TOLJISZ,X,X,X
TOLJIZS,X,O,X
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,O,X
TOLJZSI,X,O,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,O
TOLSZIJ,X,X,O
TOLSZJI,X,X,O
TOLZIJS,X,O,X
TOLZISJ,X,O,O
TOLZJIS,X,O,X
TOLZJSI,X,O,X
TOLZSIJ,X,O,O
TOLZSJI,X,O,O
TOJILSZ,X,X,X
TOJILZS,X,O,X
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,X,O,X
TOJIZSL,X,O,X
TOJLISZ,X,X,X
TOJLIZS,X,O,X
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,O,X
TOJLZSI,X,O,X
TOJSILZ,X,X,X
TOJSIZL,X,X,X
TOJSLIZ,X,X,X
TOJSLZI,X,X,X
TOJSZIL,X,X,X
TOJSZLI,X,X,X
TOJZILS,X,O,X
TOJZISL,X,O,X
TOJZLIS,X,O,X
TOJZLSI,X,O,X
TOJZSIL,X,O,X
TOJZSLI,X,O,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,X
TOSLIZJ,X,X,X
TOSLJIZ,X,X,X
TOSLJZI,X,X,O
TOSLZIJ,X,X,O
TOSLZJI,X,X,O
TOSJILZ,X,X,X
TOSJIZL,X,X,X
TOSJLIZ,X,X,X
TOSJLZI,X,X,O
TOSJZIL,X,X,O
TOSJZLI,X,X,O
TOSZILJ,X,X,X
TOSZIJL,X,X,O
TOSZLIJ,X,X,O
TOSZLJI,X,X,O
TOSZJIL,X,X,O
TOSZJLI,X,X,O
TOZILJS,X,O,X
TOZILSJ,X,O,X
TOZIJLS,X,O,X
TOZIJSL,X,O,X
TOZISLJ,X,O,X
TOZISJL,X,O,O
TOZLIJS,X,O,X
TOZLISJ,X,O,O
TOZLJIS,X,O,X
TOZLJSI,X,O,X
TOZLSIJ,X,O,O
TOZLSJI,X,O,O
TOZJILS,X,O,X
TOZJISL,X,O,X
TOZJLIS,X,O,X
TOZJLSI,X,O,X
TOZJSIL,X,O,X
TOZJSLI,X,O,X
TOZSILJ,X,O,X
TOZSIJL,X,O,O
TOZSLIJ,X,O,O
TOZSLJI,X,O,O
TOZSJIL,X,O,O
TOZSJLI,X,O,O
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,O,X
ITLJZOS,X,O,X
ITLJOSZ,X,X,X
ITLJOZS,X,O,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,O,X
ITLZJOS,X,O,X
ITLZSJO,X,O,X
ITLZSOJ,X,O,X
ITLZOJS,X,O,X
ITLZOSJ,X,O,X
ITLOJSZ,X,X,X
ITLOJZS,X,O,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,O,X
ITLOZSJ,X,O,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,O,X
ITJLZOS,X,O,X
ITJLOSZ,X,X,X
ITJLOZS,X,O,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,O,X
ITJZLOS,X,O,X
ITJZSLO,X,O,X
ITJZSOL,X,O,X
ITJZOLS,X,O,X
ITJZOSL,X,O,X
ITJOLSZ,X,X,X
ITJOLZS,X,O,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,O,X
ITJOZSL,X,O,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,O,X
ITZLJOS,X,O,X
ITZLSJO,X,O,X
ITZLSOJ,X,O,X
ITZLOJS,X,O,X
ITZLOSJ,X,O,X
ITZJLSO,X,O,X
ITZJLOS,X,O,X
ITZJSLO,X,O,X
ITZJSOL,X,O,X
ITZJOLS,X,O,X
ITZJOSL,X,O,X
ITZSLJO,X,O,X
ITZSLOJ,X,O,X
ITZSJLO,X,O,X
ITZSJOL,X,O,X
ITZSOLJ,X,O,X
ITZSOJL,X,O,X
ITZOLJS,X,O,X
ITZOLSJ,X,O,X
ITZOJLS,X,O,X
ITZOJSL,X,O,X
ITZOSLJ,X,O,X
ITZOSJL,X,O,X
ITOLJSZ,X,X,X
ITOLJZS,X,O,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,O,X
ITOLZSJ,X,O,X
ITOJLSZ,X,X,X
ITOJLZS,X,O,X
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,O,X
ITOJZSL,X,O,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,O,X
ITOZLSJ,X,O,X
ITOZJLS,X,O,X
ITOZJSL,X,O,X
ITOZSLJ,X,O,X
ITOZSJL,X,O,X
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,O,X
ILTJZOS,X,O,X
ILTJOSZ,X,X,X
ILTJOZS,X,O,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,O,X
ILTZJOS,X,O,X
ILTZSJO,X,O,X
ILTZSOJ,X,O,X
ILTZOJS,X,O,X
ILTZOSJ,X,O,X
ILTOJSZ,X,X,X
ILTOJZS,X,O,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,O,X
ILTOZSJ,X,O,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,O,X
ILJTZOS,X,O,X
ILJTOSZ,X,X,X
ILJTOZS,X,O,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,O,O,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,O,X,X
ILJZTSO,O,O,X
ILJZTOS,X,O,X
ILJZSTO,O,O,X
ILJZSOT,X,X,X
ILJZOTS,O,X,X
ILJZOST,O,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,O,X,X
ILJOZTS,O,X,X
ILJOZST,O,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,O,O,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,O,X,X
ILSZTJO,O,O,X
ILSZTOJ,X,O,X
ILSZJTO,O,O,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,O,O,X
ILZTJOS,X,O,X
ILZTSJO,O,O,X
ILZTSOJ,X,O,X
ILZTOJS,X,O,X
ILZTOSJ,X,O,X
ILZJTSO,O,O,X
ILZJTOS,X,O,X
ILZJSTO,O,O,X
ILZJSOT,X,X,X
ILZJOTS,O,X,X
ILZJOST,O,X,X
ILZSTJO,O,O,X
ILZSTOJ,X,O,X
ILZSJTO,O,O,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,O,X,X
ILZOTSJ,O,X,X
ILZOJTS,O,X,X
ILZOJST,O,X,X
ILZOSTJ,O,X,X
ILZOSJT,O,X,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,X
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
ILOJSZT,O,X,X
ILOJZTS,O,X,X
ILOJZST,O,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,O,X,X
ILOSZTJ,O,X,X
ILOSZJT,O,X,X
ILOZTJS,O,X,X
ILOZTSJ,O,X,X
ILOZJTS,O,X,X
ILOZJST,O,X,X
ILOZSTJ,O,X,X
ILOZSJT,O,X,X
IJTLSZO,X,X,X
IJTLSOZ,X,X,X
IJTLZSO,X,O,X
IJTLZOS,X,O,X
IJTLOSZ,X,X,X
IJTLOZS,X,O,X
IJTSLZO,X,X,X
