sequence,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBcmBT?iBKtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBmiB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhF6jBFhBXiB8?nBmrBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhB0iB3?mB+tBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBFiBT?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBFhBXiBS?tBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFyiB+jBFhB3?mBcsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFmdB5jBTmBi?nBUtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le08IvhFxdBamBGjBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le+DJvhFUhBRiB3iBi?mBFsBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sBOtB6tB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lem8IvhFzdB5jBFhB3?mBcsBKtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBynB5?oBOtBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lez9IvhF5jBFhB2nBf?sBimBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFKiBzdBcmBO?tB5oBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTmBxnBFnBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiBXjBasB+?tBTrB0sB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFTdBcmBxnBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFFiBTmBxsBG?tBctBisB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeFBJvhFxiB0iBasB+?tBTrBXtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Le09IvhF6jBRhBOmBf?sBlnBTtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFcmBxiBTiBO?tB6tBFsB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeX8IvhFxdBFiBTmBc?sB6tBOtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeU+IvhFFhBXiBSoBx?rBTtBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXjBasB+?tB0sBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeVBJvhFajB5jBTiB3?hBmrBUtB,v115@zgD8FeC8GeD8FeD8FeF8AeA8LeTCJvhF0mBXoB5oBF?mBatBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex8IvhFTeBUhBFiBf?tB6tBmrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhBXiBcsBO?tB6tBTrB,v115@zgD8FeC8GeD8FeD8FeF8AeA8Lex9IvhFFhB0iBasB+?tBXtBTrB
ITLSJOZ,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLSZJO,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITLZJSO,O,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLZJOS,O,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
ITLZSJO,O,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLZSOJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLZOJS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLOJZS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITLOSJZ,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITLOZJS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITJLSZO,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJLZSO,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ITJLZOS,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITJLOSZ,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJLOZS,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITJSLZO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJSZLO,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJSZOL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ITJSOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJSOZL,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJZLSO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
ITJZLOS,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ITJZSLO,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,O,X
ITJZSOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITJZOLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJZOSL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITJOLSZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJOLZS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ITJOSLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ITJOSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITJOZLS,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITJOZSL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITSLJZO,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSLZJO,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSLZOJ,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSJZLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITSJOZL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZLOJ,X,O,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJLO,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITSZJOL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITSZOLJ,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSZOJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSOLZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ITSOJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ITSOZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ITZLJSO,O,O,O,X,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZLJOS,O,O,O,X,X,O,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZLSJO,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITZLSOJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZLOJS,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZJLSO,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ITZJLOS,X,O,O,O,X,X,X,X,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZJSLO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ITZJSOL,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITZJOLS,X,O,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZJOSL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
ITZSJOL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
ITZSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ITZSOJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ITZOLJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZOJLS,X,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZOJSL,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ITZOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
ITZOSJL,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOLJZS,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ITOLZJS,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOJLSZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOJLZS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOJSLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ITOJSZL,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ITOJZLS,X,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOJZSL,X,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOSLJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ITOSZLJ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ITOSZJL,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ITOZLJS,O,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ITOZJLS,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOZJSL,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ITOZSJL,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ILTJSZO,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJZSO,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ILTJZOS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTJOSZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTJOZS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTSJZO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTSJOZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSZJO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSZOJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSOJZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILTZJSO,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZSOJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZOJS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTZOSJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOJSZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILTOSJZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTSZO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTZSO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ILJTZOS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJTOSZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJTOZS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJSTZO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSZTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSZOT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJSOZT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJZTSO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O
ILJZTOS,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJZSOT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJZOTS,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ILJOTSZ,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ILJOSTZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOSZT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTJZO,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ILSTJOZ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTZJO,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSTZOJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ILSJTZO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJZTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJZOT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSJOZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSZTJO,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSZJTO,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZJOT,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ILSZOJT,O,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
