sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB
ILOTJSZ,O,O,X,X,X,O,X,X,X,X
ILOTJZS,O,X,X,X,X,O,X,X,X,O
ILOTSJZ,O,X,X,X,X,O,X,X,X,X
ILOTSZJ,O,X,X,X,X,X,X,X,X,O
ILOTZJS,O,X,X,X,O,O,X,X,X,O
ILOTZSJ,O,X,X,X,X,X,X,X,X,O
ILOJTSZ,X,O,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,X,X,O,X,X,X,O
ILOJSTZ,O,O,X,X,X,O,X,X,X,X
ILOJSZT,O,O,X,X,X,O,X,X,X,X
ILOJZTS,X,X,X,X,O,O,X,X,X,X
ILOJZST,X,X,X,X,O,O,X,X,X,X
ILOSTJZ,O,X,X,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,X,X,X,X,X,X,O
ILOSJTZ,O,X,X,X,X,O,X,X,X,X
ILOSJZT,O,X,X,X,X,O,X,X,X,X
ILOSZTJ,O,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,X,X,O,X,X,X,X,X
ILOZTJS,X,X,X,X,O,O,X,X,X,O
ILOZTSJ,O,X,X,X,X,X,X,X,X,O
ILOZJTS,X,X,X,X,O,O,X,X,X,X
ILOZJST,O,X,X,X,O,O,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,O,X,X,X,X,X
IJTLSZO,O,O,X,X,X,X,X,X,X,X
IJTLSOZ,O,O,X,X,X,X,X,X,X,X
IJTLZSO,O,O,O,X,O,X,X,O,X,X
IJTLZOS,O,O,O,X,O,X,X,O,X,X
IJTLOSZ,O,O,X,X,X,O,X,X,X,X
IJTLOZS,O,X,O,X,O,O,X,O,X,X
IJTSLZO,O,O,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,X,X,X,X,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X,X,X,X
IJTSOLZ,O,O,X,X,X,O,X,X,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X,X
IJTZLSO,O,O,O,X,O,X,X,O,X,X
IJTZLOS,O,O,O,X,O,X,X,O,X,X
IJTZSLO,O,O,O,X,O,X,X,O,X,X
IJTZSOL,O,O,O,X,X,X,X,X,X,X
IJTZOLS,O,O,O,X,O,O,X,O,X,O
IJTZOSL,O,O,O,X,X,X,X,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X,X,X
IJTOLZS,O,X,O,X,X,O,X,X,X,O
IJTOSLZ,O,O,X,X,X,O,X,X,X,X
IJTOSZL,X,O,O,X,X,X,X,X,X,X
IJTOZLS,O,O,O,X,X,O,X,X,X,O
IJTOZSL,O,O,O,X,X,X,X,X,X,X
IJLTSZO,X,O,X,X,X,X,X,X,X,X
IJLTSOZ,X,O,X,X,X,X,X,X,X,X
IJLTZSO,X,O,O,X,X,X,X,O,X,X
IJLTZOS,X,O,O,X,X,X,X,O,X,X
IJLTOSZ,X,O,X,X,X,O,X,X,X,X
IJLTOZS,X,X,O,X,X,O,X,O,X,X
IJLSTZO,O,O,X,X,X,X,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X,X,X,X
IJLSZTO,O,O,X,X,X,X,X,O,X,X
IJLSZOT,O,O,X,X,X,X,X,O,X,X
IJLSOTZ,O,O,X,X,X,X,X,X,X,X
IJLSOZT,O,O,X,X,X,X,X,O,X,X
IJLZTSO,X,O,X,X,X,X,X,O,X,X
IJLZTOS,X,O,O,X,O,X,X,O,X,X
IJLZSTO,O,O,X,X,X,X,X,O,X,X
IJLZSOT,O,O,O,X,O,X,X,O,X,X
IJLZOTS,X,O,O,X,O,X,X,O,X,X
IJLZOST,O,O,O,X,O,X,X,O,X,X
IJLOTSZ,X,O,X,X,X,O,X,X,X,X
IJLOTZS,X,X,O,X,X,O,X,O,X,X
IJLOSTZ,O,O,X,X,X,O,X,X,X,X
IJLOSZT,O,O,X,X,X,O,X,O,X,X
IJLOZTS,X,X,O,X,O,O,X,O,X,X
IJLOZST,X,X,O,X,O,O,X,O,X,X
IJSTLZO,X,O,X,O,X,X,O,X,X,X
IJSTLOZ,X,O,X,X,X,X,O,X,X,X
IJSTZLO,X,O,O,O,X,X,O,X,X,X
IJSTZOL,X,O,O,O,X,X,O,X,X,X
IJSTOLZ,X,O,X,X,X,O,O,X,X,X
IJSTOZL,X,O,O,X,X,X,O,X,X,X
IJSLTZO,X,O,X,O,X,X,X,X,X,X
IJSLTOZ,X,O,X,X,X,X,X,X,X,X
IJSLZTO,X,O,X,O,X,X,X,O,X,X
IJSLZOT,X,O,X,O,X,X,X,O,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,X,X
IJSLOZT,X,O,X,O,X,X,X,O,X,X
IJSZTLO,X,O,X,O,X,X,O,O,X,X
IJSZTOL,X,O,X,O,X,X,O,X,X,X
IJSZLTO,X,O,X,O,X,X,X,O,X,X
IJSZLOT,X,O,O,O,X,X,X,O,X,X
IJSZOTL,X,O,X,O,X,X,O,X,X,X
IJSZOLT,X,O,O,O,X,X,X,X,X,X
IJSOTLZ,X,O,X,X,X,X,O,X,X,X
IJSOTZL,X,O,O,X,X,X,O,X,X,X
IJSOLTZ,X,O,X,X,X,O,X,X,X,X
IJSOLZT,X,O,X,O,X,O,X,X,X,X
IJSOZTL,X,O,X,O,X,X,X,X,X,X
IJSOZLT,X,O,O,O,X,X,X,X,X,X
IJZTLSO,O,O,O,X,O,X,X,O,X,X
IJZTLOS,O,O,O,X,O,X,X,O,X,X
IJZTSLO,O,O,O,X,O,X,X,O,X,X
IJZTSOL,O,O,O,X,X,X,X,X,X,X
IJZTOLS,O,O,O,X,O,O,X,O,X,X
IJZTOSL,O,O,O,X,X,X,X,X,X,X
IJZLTSO,X,O,O,X,O,X,X,O,X,X
IJZLTOS,X,O,O,X,O,X,X,O,X,X
IJZLSTO,O,O,X,X,X,X,X,O,X,X
IJZLSOT,O,O,O,X,O,X,X,O,X,X
IJZLOTS,X,O,O,X,O,X,X,O,X,X
IJZLOST,O,O,O,X,O,X,X,O,X,X
IJZSTLO,X,O,X,O,O,X,O,O,X,X
IJZSTOL,X,O,X,O,X,X,O,X,X,X
IJZSLTO,X,O,X,O,X,X,X,O,X,X
IJZSLOT,X,O,O,O,O,X,X,O,X,X
IJZSOTL,X,O,X,O,X,X,O,X,X,X
IJZSOLT,X,O,O,O,X,X,X,X,X,X
IJZOTLS,O,O,O,X,O,X,X,O,X,X
IJZOTSL,O,O,O,X,X,X,X,X,X,X
IJZOLTS,X,O,O,X,O,O,X,O,X,X
IJZOLST,O,O,O,X,O,O,X,O,X,X
IJZOSTL,X,O,X,O,X,X,O,X,X,X
IJZOSLT,X,O,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,X,X,X,O,X,X,X,X
IJOTLZS,O,X,O,X,X,O,X,X,X,O
IJOTSLZ,O,O,X,X,X,O,X,X,X,X
IJOTSZL,X,O,O,X,X,X,X,X,X,X
IJOTZLS,O,O,O,X,X,O,X,X,X,O
IJOTZSL,X,O,O,X,X,X,X,X,X,X
IJOLTSZ,X,O,X,X,X,O,X,X,X,X
IJOLTZS,X,X,O,X,X,O,X,O,X,O
IJOLSTZ,O,O,X,X,X,O,X,X,X,X
IJOLSZT,O,O,X,X,X,O,X,O,X,X
IJOLZTS,X,X,O,X,X,O,X,O,X,X
IJOLZST,X,X,O,X,X,O,X,O,X,X
IJOSTLZ,X,O,X,X,X,X,O,X,X,X
IJOSTZL,X,O,O,X,X,X,O,X,X,X
IJOSLTZ,X,O,X,X,X,O,X,X,X,X
IJOSLZT,X,O,X,X,X,O,X,X,X,X
IJOSZTL,X,O,X,X,X,X,X,X,X,X
IJOSZLT,X,O,O,X,X,X,X,X,X,X
IJOZTLS,X,O,O,X,X,X,X,O,X,X
IJOZTSL,X,O,O,X,X,X,X,X,X,X
IJOZLTS,X,O,O,X,X,O,X,O,X,X
IJOZLST,X,O,O,X,X,O,X,O,X,X
IJOZSTL,X,O,X,X,X,X,X,X,X,X
IJOZSLT,X,O,O,X,X,X,X,X,X,X
ISTLJZO,O,X,X,O,X,X,O,X,X,X
ISTLJOZ,O,X,X,X,X,X,O,X,X,X
ISTLZJO,O,X,X,O,O,X,O,X,O,X
ISTLZOJ,O,X,X,O,O,X,O,X,O,X
ISTLOJZ,O,X,X,X,X,X,O,X,X,X
ISTLOZJ,O,X,X,X,O,X,O,X,X,X
ISTJLZO,O,O,X,O,X,X,O,X,X,X
ISTJLOZ,O,O,X,X,X,X,O,X,X,X
ISTJZLO,O,O,O,O,X,X,O,X,O,X
ISTJZOL,O,O,O,O,X,X,O,X,O,X
ISTJOLZ,O,O,X,X,X,O,O,X,X,X
ISTJOZL,X,O,O,X,X,X,O,X,X,X
ISTZLJO,O,X,O,O,O,X,O,X,O,X
ISTZLOJ,O,X,X,O,O,X,O,X,O,X
ISTZJLO,O,O,O,O,O,X,O,X,O,X
ISTZJOL,O,O,O,O,X,X,O,X,O,X
ISTZOLJ,O,X,X,O,X,X,O,X,O,O
ISTZOJL,O,O,X,O,X,X,O,X,O,X
ISTOLJZ,O,X,X,X,X,O,O,X,X,X
ISTOLZJ,O,X,X,X,X,X,O,X,X,O
ISTOJLZ,O,O,X,X,X,O,O,X,X,X
ISTOJZL,X,O,X,X,X,X,O,X,X,X
ISTOZLJ,X,X,X,X,X,X,X,X,O,O
ISTOZJL,X,X,X,X,X,X,X,X,O,X
ISLTJZO,O,X,X,O,X,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X,X,X,X,X
ISLTZJO,O,X,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,X,O,X,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X,X,X
ISLTOZJ,X,X,X,X,X,X,X,X,X,X
ISLJTZO,O,X,X,O,X,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,X,X,O,X,X,X,X,X,X
ISLJZOT,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,X,X,X,X,X
ISLJOZT,O,X,X,O,X,X,X,X,X,X
ISLZTJO,O,X,X,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,O,X,X,X,X,X,X
ISLZJTO,O,X,X,O,X,X,X,X,X,X
ISLZJOT,O,X,X,O,O,X,X,X,X,X
ISLZOTJ,O,X,X,O,X,X,X,X,X,X
ISLZOJT,O,X,X,O,O,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,X
ISLOTZJ,X,X,X,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,X
ISLOJZT,O,X,X,O,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,X,X,X,X,X,X
ISLOZJT,O,X,X,O,O,X,X,X,X,X
ISJTLZO,X,O,X,O,X,X,O,X,X,X
ISJTLOZ,X,O,X,X,X,X,O,X,X,X
ISJTZLO,X,O,O,O,X,X,O,X,X,X
ISJTZOL,X,O,O,O,X,X,O,X,X,X
ISJTOLZ,X,O,X,X,X,O,O,X,X,X
ISJTOZL,X,O,O,X,X,X,O,X,X,X
ISJLTZO,X,O,X,O,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X,X
ISJLZTO,X,O,X,O,X,X,X,O,X,X
ISJLZOT,X,O,X,O,X,X,X,O,X,X
ISJLOTZ,X,O,X,X,X,X,X,X,X,X
ISJLOZT,X,O,X,O,X,X,X,O,X,X
ISJZTLO,X,O,X,O,X,X,O,O,X,X
ISJZTOL,X,O,X,O,X,X,O,X,X,X
ISJZLTO,X,O,X,O,X,X,X,O,X,X
ISJZLOT,X,O,O,O,X,X,X,O,X,X
ISJZOTL,X,O,X,O,X,X,O,X,X,X
ISJZOLT,X,O,O,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,O,X,X,X
ISJOTZL,X,O,O,X,X,X,O,X,X,X
ISJOLTZ,X,O,X,X,X,O,X,X,X,X
ISJOLZT,X,O,X,O,X,O,X,X,X,X
ISJOZTL,X,O,X,O,X,X,X,X,X,X
ISJOZLT,X,O,O,O,X,X,X,X,X,X
ISZTLJO,O,X,O,O,O,X,O,X,O,X
ISZTLOJ,O,X,X,O,O,X,O,X,O,X
ISZTJLO,O,O,O,O,O,X,O,O,O,X
ISZTJOL,O,O,O,O,X,X,O,X,O,X
ISZTOLJ,O,X,X,O,X,X,O,X,O,X
ISZTOJL,O,O,X,O,X,X,O,X,O,X
ISZLTJO,O,X,O,O,X,X,X,X,X,X
ISZLTOJ,O,X,X,O,X,X,X,X,X,X
ISZLJTO,O,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,O,O,O,X,X,X,X,X
ISZLOTJ,O,X,X,O,X,X,X,X,X,X
ISZLOJT,O,X,X,O,O,X,X,X,X,X
ISZJTLO,X,O,X,O,O,X,O,O,X,X
ISZJTOL,X,O,X,O,X,X,O,X,X,X
ISZJLTO,X,O,X,O,X,X,X,O,X,X
ISZJLOT,X,O,O,O,O,X,X,O,X,X
ISZJOTL,X,O,X,O,X,X,O,X,X,X
ISZJOLT,X,O,O,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,O,X,X,O,X,O,X
ISZOTJL,O,O,X,O,X,X,O,X,O,X
ISZOLTJ,O,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,X,O,X,X,X,X,X,X
ISZOJTL,X,O,X,O,X,X,O,X,X,X
ISZOJLT,X,O,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,O,O,X,X,X
ISOTLZJ,O,X,X,X,X,X,O,X,X,O
ISOTJLZ,O,O,X,X,X,O,O,X,X,X
ISOTJZL,X,O,X,X,X,X,O,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,O
ISOTZJL,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,O,X,X,X,X
ISOLTZJ,X,X,X,X,X,X,X,X,X,O
ISOLJTZ,O,X,X,X,X,O,X,X,X,X
ISOLJZT,O,X,X,O,X,O,X,X,X,X
ISOLZTJ,X,X,X,O,X,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,O,X,X,X,X,O,X,X,X
ISOJTZL,X,O,X,X,X,X,O,X,X,X
ISOJLTZ,X,O,X,X,X,O,X,X,X,X
ISOJLZT,X,O,X,O,X,O,X,X,X,X
ISOJZTL,X,X,X,O,X,X,X,X,X,X
ISOJZLT,X,O,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,X,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,X,X,X,X,X
ISOZLJT,X,X,X,O,X,X,X,X,X,X
ISOZJTL,X,X,X,O,X,X,X,X,X,X
ISOZJLT,X,X,X,O,X,X,X,X,X,X
IZTLJSO,O,O,O,X,O,X,X,O,X,X
IZTLJOS,O,O,O,X,O,X,X,O,X,X
IZTLSJO,O,X,O,X,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,O,X,X,X,X,X
IZTLOJS,O,O,O,X,O,X,X,X,X,O
IZTLOSJ,O,X,X,X,O,X,X,X,X,O
IZTJLSO,O,O,O,X,O,X,X,O,X,X
IZTJLOS,O,O,O,X,O,X,X,O,X,X
IZTJSLO,O,O,O,X,O,X,X,O,X,X
IZTJSOL,O,O,O,X,X,X,X,X,X,X
IZTJOLS,O,O,O,X,O,O,X,O,X,O
IZTJOSL,O,O,O,X,X,X,X,X,X,X
IZTSLJO,O,X,O,O,O,X,X,X,O,X
IZTSLOJ,O,X,X,O,O,X,X,X,O,X
IZTSJLO,O,O,O,O,O,X,X,O,O,X
IZTSJOL,O,O,O,O,X,X,X,X,O,X
IZTSOLJ,O,X,X,O,X,X,X,X,O,O
IZTSOJL,O,O,X,O,X,X,X,X,O,X
IZTOLJS,O,O,O,X,O,O,X,X,X,O
IZTOLSJ,O,X,X,X,O,X,X,X,X,O
IZTOJLS,O,O,O,X,O,O,X,O,X,O
IZTOJSL,O,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,X,X,X,X,O,O
IZTOSJL,O,O,X,O,X,X,X,X,O,X
IZLTJSO,O,O,O,X,O,X,X,O,X,X
IZLTJOS,O,O,O,X,O,X,X,O,X,X
IZLTSJO,O,X,O,X,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,O,X,X,X,X,X
IZLTOJS,O,O,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,X,X,O,X,X,X,X,X
IZLJTSO,X,O,O,X,O,X,X,O,X,X
IZLJTOS,X,O,O,X,O,X,X,O,X,X
IZLJSTO,O,O,X,X,X,X,X,O,X,X
IZLJSOT,O,O,O,X,O,X,X,O,X,X
IZLJOTS,X,O,O,X,O,X,X,O,X,X
IZLJOST,O,O,O,X,O,X,X,O,X,X
IZLSTJO,O,X,O,O,X,X,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X,X,X,X,X
IZLSJOT,O,X,O,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,X,X,X,X
IZLSOJT,O,X,X,O,O,X,X,X,X,X
IZLOTJS,O,O,O,X,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,O,X,O,X,X,X,X,X
IZLOJST,O,O,O,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,X,X,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X,X
IZJTLSO,O,O,O,X,O,X,X,O,X,X
IZJTLOS,O,O,O,X,O,X,X,O,X,X
IZJTSLO,O,O,O,X,O,X,X,O,X,X
IZJTSOL,O,O,O,X,X,X,X,X,X,X
IZJTOLS,O,O,O,X,O,O,X,O,X,X
IZJTOSL,O,O,O,X,X,X,X,X,X,X
IZJLTSO,X,O,O,X,O,X,X,O,X,X
IZJLTOS,X,O,O,X,O,X,X,O,X,X
IZJLSTO,O,O,X,X,X,X,X,O,X,X
IZJLSOT,O,O,O,X,O,X,X,O,X,X
IZJLOTS,X,O,O,X,O,X,X,O,X,X
IZJLOST,O,O,O,X,O,X,X,O,X,X
IZJSTLO,X,O,X,O,O,X,O,O,X,X
IZJSTOL,X,O,X,O,X,X,O,X,X,X
IZJSLTO,X,O,X,O,X,X,X,O,X,X
IZJSLOT,X,O,O,O,O,X,X,O,X,X
IZJSOTL,X,O,X,O,X,X,O,X,X,X
IZJSOLT,X,O,O,O,X,X,X,X,X,X
IZJOTLS,O,O,O,X,O,X,X,O,X,X
IZJOTSL,O,O,O,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,O,O,X,O,X,X
IZJOLST,O,O,O,X,O,O,X,O,X,X
IZJOSTL,X,O,X,O,X,X,O,X,X,X
IZJOSLT,X,O,O,O,X,X,X,X,X,X
IZSTLJO,O,X,O,O,O,X,O,X,O,X
IZSTLOJ,O,X,X,O,O,X,O,X,O,X
IZSTJLO,O,O,O,O,O,X,O,O,O,X
IZSTJOL,O,O,O,O,X,X,O,X,O,X
IZSTOLJ,O,X,X,O,X,X,O,X,O,X
IZSTOJL,O,O,X,O,X,X,O,X,O,X
IZSLTJO,O,X,O,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X,X,X,X,X
IZSLJOT,O,X,O,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,O,X,X,X,X,X,X
IZSLOJT,O,X,X,O,O,X,X,X,X,X
IZSJTLO,X,O,X,O,O,X,O,O,X,X
IZSJTOL,X,O,X,O,X,X,O,X,X,X
IZSJLTO,X,O,X,O,X,X,X,O,X,X
IZSJLOT,X,O,O,O,O,X,X,O,X,X
IZSJOTL,X,O,X,O,X,X,O,X,X,X
IZSJOLT,X,O,O,O,X,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,X,O,X,O,X
IZSOTJL,O,O,X,O,X,X,O,X,O,X
IZSOLTJ,O,X,X,O,X,X,X,X,X,X
IZSOLJT,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,O,X,O,X,X,O,X,X,X
IZSOJLT,X,O,X,O,X,X,X,X,X,X
IZOTLJS,O,O,O,X,O,O,X,X,X,O
IZOTLSJ,O,X,X,X,O,X,X,X,X,O
IZOTJLS,O,O,O,X,O,O,X,O,X,O
IZOTJSL,O,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,X,X,X,X,O,O
IZOTSJL,O,O,X,O,X,X,X,X,O,X
IZOLTJS,O,O,O,X,O,O,X,X,X,O
IZOLTSJ,O,X,X,X,X,X,X,X,X,O
IZOLJTS,X,O,O,X,O,O,X,X,X,X
IZOLJST,O,O,O,X,O,O,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,X,X,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X,X
IZOJTLS,O,O,O,X,O,X,X,O,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X,X
IZOJLTS,X,O,O,X,O,O,X,O,X,X
IZOJLST,O,O,O,X,O,O,X,O,X,X
IZOJSTL,X,O,X,O,X,X,O,X,X,X
IZOJSLT,X,O,O,O,X,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,X,O,X,O,X
IZOSTJL,O,O,X,O,X,X,O,X,O,X
IZOSLTJ,O,X,X,O,X,X,X,X,X,X
IZOSLJT,O,X,X,O,X,X,X,X,X,X
IZOSJTL,X,O,X,O,X,X,O,X,X,X
IZOSJLT,X,O,X,O,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,X,O,X,X,X,X
IOTLJZS,O,X,X,X,O,O,X,X,X,O
IOTLSJZ,O,X,X,X,X,O,X,X,X,X
IOTLSZJ,O,X,X,X,O,X,X,X,X,O
IOTLZJS,O,X,X,X,O,O,X,X,X,O
IOTLZSJ,O,X,X,X,O,X,X,X,X,O
IOTJLSZ,O,O,X,X,X,O,X,X,X,X
IOTJLZS,O,X,O,X,X,O,X,X,X,O
IOTJSLZ,O,O,X,X,X,O,X,X,X,X
IOTJSZL,X,O,O,X,X,X,X,X,X,X
IOTJZLS,O,O,O,X,X,O,X,X,X,O
IOTJZSL,O,O,O,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,O,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,O
IOTSJLZ,O,O,X,X,X,O,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,O
IOTSZJL,X,X,X,X,X,X,X,X,X,X
IOTZLJS,O,O,O,X,O,O,X,X,X,O
IOTZLSJ,O,X,X,X,O,X,X,X,X,O
IOTZJLS,O,O,O,X,O,O,X,X,X,O
IOTZJSL,O,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,X,X,X,X,X,X,O
IOTZSJL,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,O,X,X,X,O,X,X,X,X
IOLTJZS,O,X,X,X,X,O,X,X,X,O
IOLTSJZ,O,X,X,X,X,O,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,O
IOLTZJS,O,X,X,X,O,O,X,X,X,O
IOLTZSJ,O,X,X,X,X,X,X,X,X,O
IOLJTSZ,X,O,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,X,X,O,X,X,X,O
IOLJSTZ,O,O,X,X,X,O,X,X,X,X
IOLJSZT,O,O,X,X,X,O,X,X,X,X
IOLJZTS,X,X,X,X,O,O,X,X,X,X
IOLJZST,X,X,X,X,O,O,X,X,X,X
IOLSTJZ,O,X,X,X,X,O,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,O
IOLSJTZ,O,X,X,X,X,O,X,X,X,X
IOLSJZT,O,X,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,X,X,O,X,X,X,X,X
IOLZTJS,X,X,X,X,O,O,X,X,X,O
IOLZTSJ,O,X,X,X,X,X,X,X,X,O
IOLZJTS,X,X,X,X,O,O,X,X,X,X
IOLZJST,O,X,X,X,O,O,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,O,X,X,X,X
IOJTLZS,O,X,O,X,X,O,X,X,X,O
IOJTSLZ,O,O,X,X,X,O,X,X,X,X
IOJTSZL,X,O,O,X,X,X,X,X,X,X
IOJTZLS,O,O,O,X,X,O,X,X,X,O
IOJTZSL,X,O,O,X,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X,X,X,X
IOJLTZS,X,X,O,X,X,O,X,O,X,O
IOJLSTZ,O,O,X,X,X,O,X,X,X,X
IOJLSZT,O,O,X,X,X,O,X,O,X,X
IOJLZTS,X,X,O,X,X,O,X,O,X,X
IOJLZST,X,X,O,X,X,O,X,O,X,X
IOJSTLZ,X,O,X,X,X,X,O,X,X,X
IOJSTZL,X,O,O,X,X,X,O,X,X,X
IOJSLTZ,X,O,X,X,X,O,X,X,X,X
IOJSLZT,X,O,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X
IOJSZLT,X,O,O,X,X,X,X,X,X,X
IOJZTLS,X,O,O,X,X,X,X,O,X,X
IOJZTSL,X,O,O,X,X,X,X,X,X,X
IOJZLTS,X,O,O,X,X,O,X,O,X,X
IOJZLST,X,O,O,X,X,O,X,O,X,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X
IOJZSLT,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,O,O,X,X,X
IOSTLZJ,O,X,X,X,X,X,O,X,X,O
IOSTJLZ,O,O,X,X,X,O,O,X,X,X
IOSTJZL,X,O,X,X,X,X,O,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,O
IOSTZJL,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,X,X,X,X,X,X,X,X,O
IOSLJTZ,O,X,X,X,X,O,X,X,X,X
IOSLJZT,O,X,X,O,X,O,X,X,X,X
IOSLZTJ,X,X,X,O,X,X,X,X,X,X
IOSLZJT,O,X,X,O,X,X,X,X,X,X
IOSJTLZ,X,O,X,X,X,X,O,X,X,X
IOSJTZL,X,O,X,X,X,X,O,X,X,X
IOSJLTZ,X,O,X,X,X,O,X,X,X,X
IOSJLZT,X,O,X,O,X,O,X,X,X,X
IOSJZTL,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,O,X,X,X,X,X,X
