sequence,v115@8gA8BeA8FeA8BeC8BeA8AeA8AeB8DeG8AeE8JeZ/Iv?hFufBzbBUdBajBfnBFrB,v115@8gA8BeA8FeA8BeC8BeA8AeA8AeB8DeG8AeE8Jei6Iv?hFzbBRdBckBfnBmiBFrB,v115@8gA8BeA8FeA8BeC8BeA8AeA8AeB8DeG8AeE8Jei6Iv?hFzbBckBRiBfnBmiBFrB
TLSZJIO,O,X,X
TLSZJOI,O,X,X
TLSZOIJ,O,X,X
TLSZOJI,O,X,X
TLSOIJZ,O,X,X
TLSOIZJ,O,X,X
TLSOJIZ,O,X,X
TLSOJZI,O,X,X
TLSOZIJ,O,X,X
TLSOZJI,O,X,X
TLZIJSO,X,X,X
TLZIJOS,X,X,X
TLZISJO,X,X,X
TLZISOJ,X,X,X
TLZIOJS,X,X,X
TLZIOSJ,X,X,X
TLZJISO,X,X,X
TLZJIOS,X,X,X
TLZJSIO,X,X,X
TLZJSOI,X,X,X
TLZJOIS,X,X,X
TLZJOSI,X,X,X
TLZSIJO,X,X,X
TLZSIOJ,X,X,X
TLZSJIO,X,X,X
TLZSJOI,X,X,X
TLZSOIJ,X,X,X
TLZSOJI,X,X,X
TLZOIJS,X,X,X
TLZOISJ,X,X,X
TLZOJIS,X,X,X
TLZOJSI,X,X,X
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,O,X,X
TLOIJZS,X,X,X
TLOISJZ,O,X,X
TLOISZJ,O,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,O,X,X
TLOJIZS,X,X,X
TLOJSIZ,O,X,X
TLOJSZI,O,X,X
TLOJZIS,X,X,X
TLOJZSI,X,X,X
TLOSIJZ,O,X,X
TLOSIZJ,O,X,X
TLOSJIZ,O,X,X
TLOSJZI,O,X,X
TLOSZIJ,O,X,X
TLOSZJI,O,X,X
TLOZIJS,X,X,X
TLOZISJ,X,X,X
TLOZJIS,X,X,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,X,X
TJILSOZ,O,X,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,O,X,X
TJILOZS,X,X,X
TJISLZO,O,X,X
TJISLOZ,O,X,X
TJISZLO,O,X,X
TJISZOL,O,X,X
TJISOLZ,O,X,X
TJISOZL,O,X,X
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,O,X,X
TJIOLZS,X,X,X
TJIOSLZ,O,X,X
TJIOSZL,O,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,O,X,X
TJLISOZ,O,X,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,O,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,O,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,O,X,X
TJLSOZI,O,X,X
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,O,X,X
TJLOIZS,X,X,X
TJLOSIZ,O,X,X
TJLOSZI,O,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,O,X,X
TJSILOZ,O,X,X
TJSIZLO,O,X,X
TJSIZOL,O,X,X
TJSIOLZ,O,X,X
TJSIOZL,O,X,X
TJSLIZO,O,X,X
TJSLIOZ,O,X,X
TJSLZIO,O,X,X
TJSLZOI,O,X,X
TJSLOIZ,O,X,X
TJSLOZI,O,X,X
TJSZILO,O,X,X
TJSZIOL,O,X,X
TJSZLIO,O,X,X
TJSZLOI,O,X,X
TJSZOIL,O,X,X
TJSZOLI,O,X,X
TJSOILZ,O,X,X
TJSOIZL,O,X,X
TJSOLIZ,O,X,X
TJSOLZI,O,X,X
TJSOZIL,O,X,X
TJSOZLI,O,X,X
TJZILSO,X,X,X
TJZILOS,X,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,O,X,X
TJOILZS,X,X,X
TJOISLZ,O,X,X
TJOISZL,O,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,O,X,X
TJOLIZS,X,X,X
TJOLSIZ,O,X,X
TJOLSZI,O,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,O,X,X
TJOSIZL,O,X,X
TJOSLIZ,O,X,X
TJOSLZI,O,X,X
TJOSZIL,O,X,X
TJOSZLI,O,X,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,O,X,X
TSILJOZ,O,X,X
TSILZJO,O,X,X
TSILZOJ,O,X,X
TSILOJZ,O,X,X
TSILOZJ,O,X,X
TSIJLZO,O,X,X
TSIJLOZ,O,X,X
TSIJZLO,O,X,X
TSIJZOL,O,X,X
TSIJOLZ,O,X,X
TSIJOZL,O,X,X
TSIZLJO,O,X,X
TSIZLOJ,O,O,X
TSIZJLO,O,X,X
TSIZJOL,O,X,X
TSIZOLJ,O,O,X
TSIZOJL,O,X,X
TSIOLJZ,O,X,X
TSIOLZJ,O,X,X
TSIOJLZ,O,X,X
TSIOJZL,O,X,X
TSIOZLJ,O,O,X
TSIOZJL,O,X,X
TSLIJZO,O,X,X
TSLIJOZ,O,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,O,X,X
TSLJZIO,O,X,X
TSLJZOI,O,X,X
TSLJOIZ,O,X,X
TSLJOZI,O,X,X
TSLZIJO,O,X,X
TSLZIOJ,O,X,X
TSLZJIO,O,X,X
TSLZJOI,O,X,X
TSLZOIJ,O,X,X
TSLZOJI,O,X,X
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,X,X
TSLOJZI,O,X,X
TSLOZIJ,O,X,X
TSLOZJI,O,X,X
TSJILZO,O,X,X
TSJILOZ,O,X,X
TSJIZLO,O,O,X
TSJIZOL,O,O,X
TSJIOLZ,O,X,X
TSJIOZL,O,O,X
TSJLIZO,O,X,X
TSJLIOZ,O,X,X
TSJLZIO,O,X,X
TSJLZOI,O,X,X
TSJLOIZ,O,X,X
TSJLOZI,O,X,X
TSJZILO,O,O,X
TSJZIOL,O,O,X
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,O,O,X
TSJZOLI,O,O,X
TSJOILZ,O,X,X
TSJOIZL,O,O,X
TSJOLIZ,O,X,X
TSJOLZI,O,X,X
TSJOZIL,O,O,X
TSJOZLI,O,O,X
TSZILJO,O,X,X
TSZILOJ,O,O,X
TSZIJLO,O,X,X
TSZIJOL,O,X,X
TSZIOLJ,O,O,X
TSZIOJL,O,X,X
TSZLIJO,O,X,X
TSZLIOJ,O,O,X
TSZLJIO,O,O,X
TSZLJOI,O,O,X
TSZLOIJ,O,O,X
TSZLOJI,O,O,X
TSZJILO,O,O,X
TSZJIOL,O,O,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,O,O,X
TSZJOLI,O,O,X
TSZOILJ,O,O,X
TSZOIJL,O,X,X
TSZOLIJ,O,O,X
TSZOLJI,O,O,X
TSZOJIL,O,O,X
TSZOJLI,O,O,X
TSOILJZ,O,X,X
TSOILZJ,O,X,X
TSOIJLZ,O,X,X
TSOIJZL,O,X,X
TSOIZLJ,O,O,X
TSOIZJL,O,X,X
TSOLIJZ,O,X,X
TSOLIZJ,O,X,X
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,X
TSOLZJI,O,X,X
TSOJILZ,O,X,X
TSOJIZL,O,O,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
TSOJZIL,O,O,X
TSOJZLI,O,O,X
TSOZILJ,O,O,X
TSOZIJL,O,X,X
TSOZLIJ,O,O,X
TSOZLJI,O,O,X
TSOZJIL,O,O,X
TSOZJLI,O,O,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,O
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,O
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,O
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,O,X
TZLSJIO,X,O,X
TZLSJOI,X,O,X
TZLSOIJ,X,O,X
TZLSOJI,X,O,X
TZLOIJS,X,X,X
TZLOISJ,X,X,O
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,O,X
TZLOSJI,X,O,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,O,X
TZSIJLO,X,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,O,X
TZSIOJL,X,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,O,X
TZSLJIO,X,O,X
TZSLJOI,X,O,X
TZSLOIJ,X,O,X
TZSLOJI,X,O,X
TZSJILO,X,O,X
TZSJIOL,X,O,X
TZSJLIO,X,O,X
TZSJLOI,X,O,X
TZSJOIL,X,O,X
TZSJOLI,X,O,X
TZSOILJ,X,O,X
TZSOIJL,X,X,X
TZSOLIJ,X,O,X
TZSOLJI,X,O,X
TZSOJIL,X,O,X
TZSOJLI,X,O,X
TZOILJS,X,X,X
TZOILSJ,X,X,O
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,O
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,O,X
TZOLSJI,X,O,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,O,X
TZOSIJL,X,X,X
TZOSLIJ,X,O,X
TZOSLJI,X,O,X
TZOSJIL,X,O,X
TZOSJLI,X,O,X
TOILJSZ,O,X,X
TOILJZS,X,X,X
TOILSJZ,O,X,X
TOILSZJ,O,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,O,X,X
TOIJLZS,X,X,X
TOIJSLZ,O,X,X
TOIJSZL,O,X,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,O,X,X
TOISLZJ,O,X,X
TOISJLZ,O,X,X
TOISJZL,O,X,X
TOISZLJ,O,X,X
TOISZJL,O,X,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,O
TOIZJLS,X,X,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,O,X,X
TOLIJZS,X,X,X
TOLISJZ,O,X,X
TOLISZJ,O,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,O,X,X
TOLJIZS,X,X,X
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,O,X,X
TOLSIZJ,O,X,X
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,X
TOLSZJI,O,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,O,X,X
TOJILZS,X,X,X
TOJISLZ,O,X,X
TOJISZL,O,X,X
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,O,X,X
TOJLIZS,X,X,X
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,O,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,X,X,X
TOJZISL,X,X,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,O,X,X
TOSILZJ,O,X,X
TOSIJLZ,O,X,X
TOSIJZL,O,X,X
TOSIZLJ,O,O,X
TOSIZJL,O,X,X
TOSLIJZ,O,X,X
TOSLIZJ,O,X,X
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,X
TOSLZJI,O,X,X
TOSJILZ,O,X,X
TOSJIZL,O,O,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,O,X
TOSJZLI,O,O,X
TOSZILJ,O,O,X
TOSZIJL,O,X,X
TOSZLIJ,O,O,X
TOSZLJI,O,O,X
TOSZJIL,O,O,X
TOSZJLI,O,O,X
TOZILJS,X,X,X
TOZILSJ,X,X,O
TOZIJLS,X,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,X
TOZLISJ,X,X,O
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,O,X
TOZLSJI,X,O,X
TOZJILS,X,X,X
TOZJISL,X,X,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,O,X
TOZSIJL,X,X,X
TOZSLIJ,X,O,X
TOZSLJI,X,O,X
TOZSJIL,X,O,X
TOZSJLI,X,O,X
ITLJSZO,O,X,X
ITLJSOZ,O,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,O,X,X
ITLJOZS,X,X,X
ITLSJZO,O,X,X
ITLSJOZ,O,X,X
ITLSZJO,O,X,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,O,X,X
ITLOJZS,X,X,X
ITLOSJZ,O,X,X
ITLOSZJ,O,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,O,X,X
ITJLSOZ,O,X,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,O,X,X
ITJLOZS,X,X,X
ITJSLZO,O,X,X
ITJSLOZ,O,X,X
ITJSZLO,O,X,X
ITJSZOL,O,X,X
ITJSOLZ,O,X,X
ITJSOZL,O,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,O,X,X
ITJOLZS,X,X,X
ITJOSLZ,O,X,X
ITJOSZL,O,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,O,X,X
ITSLJOZ,O,X,X
ITSLZJO,O,X,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,X,X
ITSJLOZ,O,X,X
ITSJZLO,O,X,X
ITSJZOL,O,X,X
ITSJOLZ,O,X,X
ITSJOZL,O,X,X
ITSZLJO,O,X,X
ITSZLOJ,O,X,X
ITSZJLO,O,X,X
ITSZJOL,O,X,X
ITSZOLJ,O,X,X
ITSZOJL,O,X,X
ITSOLJZ,O,X,X
ITSOLZJ,O,X,X
ITSOJLZ,O,X,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,X
ITSOZJL,O,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,O,X,X
ITOLJZS,X,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,O,X,X
ITOJLZS,X,X,X
ITOJSLZ,O,X,X
ITOJSZL,O,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,O,X,X
ITOSLZJ,O,X,X
ITOSJLZ,O,X,X
ITOSJZL,O,X,X
ITOSZLJ,O,X,X
ITOSZJL,O,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,O,X,X
ILTJSOZ,O,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,O,X,X
ILTJOZS,X,X,X
ILTSJZO,O,X,X
ILTSJOZ,O,X,X
ILTSZJO,O,X,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,O,X,X
ILTOJZS,X,X,X
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,O,X,X
ILJTSOZ,O,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,O,X,X
ILJTOZS,X,X,X
ILJSTZO,O,X,X
ILJSTOZ,O,X,X
ILJSZTO,O,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,O,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,O,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,O,X,X
ILSJTOZ,O,X,X
ILSJZTO,O,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,X,X,X
ILSZTOJ,X,X,X
ILSZJTO,O,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,O,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,O,X,X
ILSOZTJ,X,X,X
ILSOZJT,O,X,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,X
ILZJSTO,X,X,X
ILZJSOT,X,X,X
ILZJOTS,X,X,X
ILZJOST,X,X,X
ILZSTJO,X,X,X
ILZSTOJ,X,X,X
ILZSJTO,X,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,X,X
ILZOSTJ,X,X,X
ILZOSJT,X,X,X
ILOTJSZ,O,X,X
ILOTJZS,X,X,X
ILOTSJZ,O,X,X
ILOTSZJ,O,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,O,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
ILOJSZT,O,X,X
ILOJZTS,X,X,X
ILOJZST,X,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,O,X,X
ILOSZTJ,X,X,X
ILOSZJT,O,X,X
ILOZTJS,X,X,X
ILOZTSJ,X,X,X
ILOZJTS,X,X,X
ILOZJST,X,X,X
ILOZSTJ,X,X,X
ILOZSJT,X,X,X
